编号,类型,事件,详细
30000/30100/30111,公共卫生,湖北21日无新增新冠肺炎确诊病例,2020年6月21日0—24时，全省新增新冠肺炎确诊病例0例，新增疑似病例0例，新增死亡病例0例，无境外输入病例。截至2020年6月21日24时，全省现有确诊病例0例，现有疑似病例0例。全省累计报告新冠肺炎确诊病例68135例，累计治愈出院63623例，累计病亡4512例。全省累计追踪密切接触者285048人，尚在接受医学观察57人。6月21日，全省新增无症状感染者0例，转确诊0例，解除隔离0例，尚在医学观察的无症状感染者3例。?
30000/30100/30111,公共卫生,国家卫健委：21日新增新冠肺炎确诊病例18例,6月21日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例18例，其中境外输入病例7例（上海3例，陕西2例，天津1例，辽宁1例），本土病例11例（北京9例，河北2例）；无新增死亡病例；新增疑似病例2例，均为本土病例（均在北京）。当日无新增治愈出院病例，解除医学观察的密切接触者144人，重症病例与前一日相比减少3例。境外输入现有确诊病例89例（其中重症病例1例），无现有疑似病例。累计确诊病例1876例，累计治愈出院病例1787例，无死亡病例。截至6月21日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例349例（其中重症病例12例），累计治愈出院病例78413例，累计死亡病例4634例，累计报告确诊病例83396例，现有疑似病例15例。累计追踪到密切接触者758023人，尚在医学观察的密切接触者7236人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者7例（境外输入1例）；当日转为确诊病例1例（无境外输入）；当日解除医学观察3例（境外输入3例）；尚在医学观察无症状感染者114例（境外输入56例）。累计收到港澳台地区通报确诊病例1622例。其中，香港特别行政区1131例（出院1078例，死亡5例），澳门特别行政区45例（出院45例），台湾地区446例（出院434例，死亡7例）
30000/30100/30111,公共卫生,武汉抽检81家超市和农贸市场2319份样本 结果全为阴性,中新网6月22日电?据武汉市卫健委网站消息，6月21日，武汉市、区疾控中心对62个农贸市场、19个超市的海鲜产品、淡水产品、肉类和畜禽类摊位的案板、刀具、台面、水池等环境及部分食品进行抽样，共采集2319个样本，其中海鲜摊位样本243个、淡水产品摊位样本759个、肉类摊位样本900个、畜禽类摊位样本417个。新冠病毒核酸检测结果均为阴性。武汉市从6月13日起连续9天对辖区内的超市、农贸市场等环境样本(包括环境和物品)进行采样检测。截至今日，已抽检超市255家、农贸市场425家、水产品进出口贸易公司5家，共采集和检测环境样本22911份，结果全为阴性。
30000/30100/30111,公共卫生,陕西新增2例境外输入确诊病例 均为伊斯兰堡至北京CA946航班旅客,6月20日8时至6月21日8时，陕西无新增报告本地确诊病例、疑似病例、无症状感染者。截至6月21日8时，累计报告本地确诊病例245例，累计出院242例，累计死亡3例。6月20日8时至6月21日8时，陕西新增报告2例境外输入确诊病例。截至6月21日8时，累计报告境外输入确诊病例71例，累计出院64例，在院7例。累计报告无症状感染者23例，转为确诊病例1例，已解除隔离15例，尚在观察的无症状感染者7例。今日新增：陕西新增2例境外输入确诊病例，为伊斯兰堡至北京CA946航班旅客。CA946航班6月20日到达第一入境点西安咸阳国际机场后，航班全部人员落实海关检疫、核酸检测、点对点转运、隔离诊疗、隔离医学观察等闭环管理措施，无陕西省内自行活动轨迹。CA946航班密切接触者78人，全部为同航班旅客，均在隔离点集中隔离医学观察。当前陕西省隔离密切接触者273人，其中境外输入密切接触者243人、外省协查密切接触者30人。境外输入确诊病例1：张某，男，33岁，内蒙古籍。入境后检测体温36.8℃，无发热等症状。西安海关和西安市核酸检测结果阳性，胸部CT异常，经市级专家组会诊，诊断为新冠肺炎确诊病例，目前在定点医疗机构隔离治疗。境外输入确诊病例2：姜某，男，32岁，辽宁籍。入境后检测体温36.5℃，无发热等症状。西安海关和西安市核酸检测结果阳性，胸部CT异常，经市级专家组会诊，诊断为新冠肺炎确诊病例，目前在定点医疗机构隔离治疗。
30000/30100/30111,公共卫生,岳各庄分流新发地百万公斤蔬菜销售 5318人核酸检测全为阴性,央视网消息：6月13日凌晨，北京最大的“菜篮子”新发地市场因疫情暂时休市。根据休市期间应急交易保供措施，运送肉类的车辆以及部分蔬菜分流至岳各庄批发市场。在距离岳各庄批发市场8号门大概200米的位置，新建了一个临时的蔬菜交易区，这里原本是一个停车场，现在供蔬菜批发商们免费使用，能够停放的货车高达100辆。目前岳各庄批发市场的交易情况如何？岳各庄村党总支书记 戴鹏飞：这次政府要求岳各庄批发市场把蔬菜和水果的保供任务也承担一些，把停车场进行了改造，供原先在新发地进行批发的这帮商户到这个停车场来进行交易，不收费。在这疫期内，一天不解除疫情，一天不收费。（之前）整个市场每日蔬菜交易量是平均90万公斤左右，现在一下达到了200万公斤。除了新鲜蔬菜，岳各庄还分流了新发地的肉类和海鲜的供应任务，以猪肉为例，6月13日之前岳各庄每天销售800多头生猪，14日和15日一度接近1500头。为此，岳各庄批发市场将每天的鲜肉交易时间从以前的晚上9点到11点改为晚上8点到12点。为保障市场安全平稳有序运行，市场内商户和工作人员共计5318人全部完成核酸检测，结果全为阴性。据北京市商务局监测数据显示，14日以来，北京市7大批发市场蔬菜上市量平均稳定在1.1万吨左右，昨天超过了1.2万吨。15日至19日，北京8家大型连锁超市的592个门店蔬菜日均供应量达到2125.4吨，比12日增长80.2%。北京市150辆蔬菜直通车，将新鲜的蔬菜水果送到240多个社区，服务200多万居民，每天配送量约400吨，北京市商务局在官网上公布全市主要连锁商超的详细名单地址和联系方式，供各社区菜场、小门小店对接商品供应。
30000/30100/30111,公共卫生,湖北辽宁等地10支队伍共212人进京支援核酸检测工作,在21日下午召开的北京市新型冠状病毒肺炎疫情防控工作新闻发布会上，北京市卫生健康委新闻发言人高小俊介绍，国家卫生健康委近期从湖北、辽宁等地抽调了实验室的检测人员，组成10支检测队伍，共有212名检测人员，携带必要的设备，支援北京10家医院开展核酸检测工作，提升核酸检测能力。预计人员和设备全部到位后，每天可为北京提供约3万个样本的核酸检测能力。10支检测队伍的人员将于近日陆续抵京开展工作。
30000/30100/30111,公共卫生,新冠肺炎患者密接者初次检测呈阴性 依然要隔离,新冠肺炎患者的密接者，如果第一次核酸检测呈阴性，是否就不需要隔离了？对此，21日下午，北京市新型冠状病毒肺炎疫情防控工作第128场新闻发布会上，国家卫健委临床检验中心研究员李金明明确，密切接触者，如果核酸检测为阴性，依然需要隔离。
30000/30100/30111,公共卫生,国家卫健委：20日新增26例新冠肺炎确诊病例,原标题：国家卫健委：昨日新增26例新冠肺炎确诊病例6月20日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例26例，其中境外输入病例1例（在福建），本土病例25例（北京22例，河北3例）；无新增死亡病例；新增疑似病例3例，均为本土病例（均在北京）。当日新增治愈出院病例3例，解除医学观察的密切接触者397人，重症病例与前一日相比增加2例。境外输入现有确诊病例82例（其中重症病例1例），无现有疑似病例。累计确诊病例1869例，累计治愈出院病例1787例，无死亡病例。截至6月20日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例331例（其中重症病例15例），累计治愈出院病例78413例，累计死亡病例4634例，累计报告确诊病例83378例，现有疑似病例13例。累计追踪到密切接触者756965人，尚在医学观察的密切接触者6339人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者6例（境外输入2例）；当日转为确诊病例2例（无境外输入）；当日解除医学观察1例（境外输入1例）；尚在医学观察无症状感染者111例（境外输入58例）。累计收到港澳台地区通报确诊病例1619例。其中，香港特别行政区1128例（出院1077例，死亡4例），澳门特别行政区45例（出院45例），台湾地区446例（出院434例，死亡7例）。
30000/30100/30111,公共卫生,国家卫健委：6月19日新增新冠肺炎确诊病例27例,6月19日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例27例，其中境外输入病例4例（广东3例，上海1例），本土病例23例（北京22例，河北1例）；无新增死亡病例；新增疑似病例4例，均为本土病例（均在北京）。当日新增治愈出院病例12例，解除医学观察的密切接触者232人，重症病例与前一日持平。境外输入现有确诊病例83例（无重症病例），无现有疑似病例。累计确诊病例1868例，累计治愈出院病例1785例，无死亡病例。截至6月19日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例308例（其中重症病例13例），累计治愈出院病例78410例，累计死亡病例4634例，累计报告确诊病例83352例，现有疑似病例11例。累计追踪到密切接触者756223人，尚在医学观察的密切接触者6023人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者7例（境外输入5例）；当日无转为确诊病例；当日解除医学观察9例（境外输入8例）；尚在医学观察无症状感染者108例（境外输入57例）。累计收到港澳台地区通报确诊病例1618例。其中，香港特别行政区1127例（出院1074例，死亡4例），澳门特别行政区45例（出院45例），台湾地区446例（出院434例，死亡7例）
30000/30100/30111,公共卫生,国家卫健委：6月16日后持核酸阴性证明离京者各地不应设限,今天（19日）下午，国务院联防联控机制召开新闻发布会，介绍《低风险地区夏季重点地区重点单位重点场所新冠肺炎疫情常态化防控相关防护指南》有关情况。国家卫生健康委疾控局监察专员王斌介绍，近期北京疫情发生后，一些地方出台了政策，对于来自北京中高风险地区的人员开展集中观察、核酸检测等措施。王斌表示，针对6月16号以后，持有离京前7日内核酸检测阴性证明，或者能够出示包括核酸检测阴性证明的健康码的离京人员，到达目的地以后体温测量正常，并且做好个人防护的前提下，是可以自由有序流动的。各个地方也不应该再针对这样的人员出台一些或者是设置一些限制性的措施。
30000/30100/30111,公共卫生,国家卫健委：两省市连续5天以上报告新增本土确诊病例,国务院联防联控机制今天（6月19日）下午召开新闻发布会，介绍《低风险地区夏季重点地区重点单位重点场所新冠肺炎疫情常态化防控相关防护指南》有关情况，并回答记者提问。国家卫健委新闻发言人、宣传司副司长胡强强在发布会上通报：6月18日，两省市（北京、河北）连续5天以上报告新增本土确诊病例。现有重症病例数连续5天增加，尚在医学观察的密切接触者仍然增长较快，病例救治和流行病学调查仍然面临较大挑战。要毫不懈怠抓好各项工作，巩固疫情防控成果，切实阻断疫情传播。
30000/30100/30111,公共卫生,国家卫健委：农贸市场等从业人员要戴口罩、手套,国务院联防联控机制今天（6月19日）下午召开新闻发布会，介绍《低风险地区夏季重点地区重点单位重点场所新冠肺炎疫情常态化防控相关防护指南》有关情况，并回答记者提问。国家卫生健康委疾控局监察专员在发布会上介绍，修订后的指南重点强化了几个方面的措施：第一，重申坚持做好日常卫生防护的措施。比如通风换气、环境的卫生和消毒、减少人员的聚集、手卫生、分餐制、一米线都是我们在疫情防控期间反复强调的一些措施，在这次的指南里面仍然重申了这些防控措施。同时我们还强调了一些重点场所，比如农贸市场的从业人员，这些人员要戴口罩、戴手套的措施。第二，进一步对公众戴口罩进行了一些分类指导。比如影剧院、游戏厅、网吧、交通工具这些相对封闭的场所，公共场所的服务人员、去医院就诊，还有一些职业暴露的人群都需要戴口罩。其他的场所，如果能够保持在距离一米以上有这样安全的社交距离，我们建议可以不用戴口罩或者自愿戴口罩。第三，防护指南规范了空调运行的管理和使用。大家都知道，夏天到了，空调是大家所离不开的，这次指南里，我们要求全空气空调系统由原来要求全部关闭回风，调整为尽可能减少回风，增大新风量。强调了对冷却塔进行清洗，保持清风口清洁，定期对送风口这样的设备进行清洗、消毒、更换，新风口和派风口都要保持一定距离的要求。第四，有一些场所还是要坚持体温监测，比如宾馆、影剧院、网吧这些相对密闭的场所。还有养老院、福利院这些特殊单位以及交通客运场站、学校、机关事业单位要坚持体温监测。强化环境里面的卫生和消毒措施，歌舞厅、道路水运客运和民航坚持健康码的检查。除此之外，没有提出明确要求的，这些低风险地区其他的场所可以不做体温监测了。此外考虑到网吧、游戏厅，还有博物馆、公共浴室、游泳馆这些封闭通风不畅的场所，建议人群在这些地方停留的时候尽可能减少停留的时间。所以这样一个防护指南更适用于夏季，更适用于低风险地区，我们非常希望媒体朋友对防护措施进行广泛宣传，让老百姓都内容了解，而且去遵守。
30000/30100/30111,公共卫生,吴尊友：大规模的核酸检测要限制在高风险人群、有可能感染的人群中,中国疾病预防控制中心流行病学首席专家吴尊友6月15日在接受总台央视《新闻1+1》专访时表示，未来三天北京报告的病例数决定了这次疫情的走向。三天已过，如何给出判断？防控举措，会否有所调整？病毒溯源，有何最新进展？局部暴发，会否再次出现？为此，央视新闻《相对论》记者庄胜春独家专访吴尊友。总台央视记者 庄胜春：现在还有没有必要进行大规模的核酸检测？中国疾病预防控制中心流行病学首席专家 吴尊友：大规模的核酸检测有必要，但是一定要限制在高风险人群、有可能感染的人群当中，没有必要对全市几千万人做这样大规模的筛查。因为我们非常清楚，北京这一次新冠肺炎的疫情发现很早，根本就没有在更大的范围传播出去。其他区虽然也有病例，那也是零星的关联病例，并没有造成更大范围的扩散。没有明显的家庭聚集性，没有明显的医院的聚集性，这就说明疫情没有在更大范围扩散，所以也没有必要全民都做核酸检测。按照我们科学防控的要求，应检尽检，有自愿检测的可以主动去检测。为了做好检测工作，也可以采取预约的方法，避免人员过度集中在某一个检测点，这有可能造成交叉污染传播。?
30000/30100/30111,公共卫生,北京新发地新冠疫情及病毒基因组序列数据公布,据中国疾病预防控制中心官网消息，6月18日晚，中国疾病预防控制中心通过“新型冠状病毒国家科技资源服务系统”正式发布2020年6月北京新发地新冠疫情及病毒基因组序列数据。三条数据来自北京市确诊病例基因组序列数据（NMDC60013902-01、NMDC60013903-02）以及环境样本基因组序列数据（NMDC60013903-03）。中国疾病预防控制中心同时向世界卫生组织及全球共享流感数据倡议组织（GISAID）提交了新冠疫情及病毒基因组序列数据，向国际社会共享。新型冠状病毒国家科技资源服务系统由中国科学院微生物研究所牵头的国家微生物科学数据中心与中国疾病预防控制中心牵头的国家病原微生物资源库共同建设。
30000/30100/30111,公共卫生,国家卫生健康委疾控局：中高风险地区的高考考生要全程佩戴口罩,在教育部今天召开介绍2020年高考防疫及组织实施等工作安排的新闻发布会上，国家卫生健康委疾病预防控制局一级巡视员贺青华介绍，针对考点、考生、工作人员的考前准备，考生的防护要点，考场防疫、消毒与防护以及考试过程中应急处置等方面，已制定细化的操作流程和指导措施。提前14天进行日常体温测量和身体健康状况监测要求做好人员的健康监测。对参与组考、监考环节的工作人员和考生，要求提前14天进行日常体温测量和身体健康状况监测，做到每天体温测量并记录。制定异常状况的评估制度对考前和考试中监测、检查发现的考生和工作人员身体异常状况，卫生健康部门、疾控机构、医疗机构指导教育部门做好专业评估，教育主管部门依据专业评估建议，综合研判评估是否具备参加考试和组织考试工作的条件。对所有进入考点人员进行体温测量要求考点入口处设体温检测点，对所有进入考点人员进行体温测量，同时，设置凉棚和体温异常者复检室，供待检和复检人员等候时使用。每10个普通考场设1个备用隔离考场要求原则上每10个普通考场设1个备用隔离考场（每考点不得少于3个）。当考试当天有发热、咳嗽等呼吸道症状的考生，启用备用隔离考场。原则上须一人一间，备用隔离考场不够用时，可采取最前排、最后排或四角排位的方式多人共用一间（最多不超过4人）。发生过疫情的学校不能作为考点要求发生过疫情的学校，不能作为考点。考试前要对考点、考场、通道、门把手、桌椅、宿舍等进行全面环境卫生清洁与消毒。普通考场可使用分体空调或中央空调要求对考场考点空调运行情况进行全面检查，开展清洁消毒。普通考场可使用分体空调或中央空调，备用隔离考场须使用分体空调。可使用自然通风、电风扇等设备加强通风。工作人员和监考人员全程佩戴口罩低风险地区的考生在进入考场前要佩戴口罩，进入考场就座后，可以自主决定是否佩戴；备用隔离考场和中高风险地区的考生，要全程佩戴口罩。工作人员和监考人员全程佩戴口罩，隔离考场的监考员及工作人员需穿戴工作服、医用防护口罩和一次性手套等，必要时可穿戴防护服。
30000/30100/30111,公共卫生,国家卫健委：6月18日新增新冠肺炎确诊病例32例,6月18日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例32例，其中境外输入病例4例（广东3例，甘肃1例），本土病例28例（北京25例，河北2例，辽宁1例）；无新增死亡病例；新增疑似病例2例，均为本土病例（均在北京）。当日新增治愈出院病例4例，解除医学观察的密切接触者227人，重症病例增加4例。境外输入现有确诊病例91例（无重症病例），无现有疑似病例。累计确诊病例1864例，累计治愈出院病例1773例，无死亡病例。截至6月18日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例293例（其中重症病例13例），累计治愈出院病例78398例，累计死亡病例4634例，累计报告确诊病例83325例，现有疑似病例7例。累计追踪到密切接触者755832人，尚在医学观察的密切接触者5856人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者5例（无境外输入）；当日转为确诊病例2例（无境外输入）；当日解除医学观察4例（境外输入3例）；尚在医学观察无症状感染者110例（境外输入60例）。累计收到港澳台地区通报确诊病例1615例。其中，香港特别行政区1124例（出院1072例，死亡4例），澳门特别行政区45例（出院45例），台湾地区446例（出院434例，死亡7例）。
30000/30100/30111,公共卫生,国家卫健委等三部门：切实做好常态化疫情防控,新华社北京6月18日电（记者陈聪）国家卫生健康委员会、财政部、国家中医药管理局日前联合印发《关于做好2020年基本公共卫生服务项目工作的通知》，要求切实做好常态化疫情防控，持续扩大基本公共卫生服务覆盖面、优化服务内涵、提高服务质量。通知要求，各地基层医疗卫生机构要在疾控和其他专业公共卫生机构指导下，积极会同乡镇（街道）、村（居）委会做好辖区新冠肺炎疫情风险管理、发热患者筛查和相关信息登记、报告以及处置工作。通知指出，各地有关部门要加强培训，指导基层制订和完善新冠肺炎疫情防控应急预案并定期开展应急演练，有效提升基层对新冠肺炎等重大疫情的防控应对能力，统筹做好疫情防控和基本公共卫生服务工作，落实重点人群健康管理。在基层卫生防疫经费补助方面，通知明确，2020年人均基本公共卫生服务经费补助标准为74元，新增5元经费全部落实到乡村和城市社区，统筹用于社区卫生服务中心（站）、乡镇卫生院和村卫生室等基层医疗卫生机构开展新冠肺炎疫情防控的人员经费、公用经费等支出。
30000/30100/30111,公共卫生,生吃蔬果会有病毒残留风险吗？吴尊友：要看产地和供应市场,?疫情期间，生吃蔬菜、水果是否存在病毒残留的风险？今天（18日）下午，在北京市新型冠状病毒肺炎疫情防控工作第125场新闻发布会上，中国疾控中心流行病学首席专家吴尊友说，首先要看产地是不是安全的；第二，供应市场是不是安全。北京蔬菜瓜果主要来自山东、河北，这些地方都是较为安全的。水果生吃没问题，蔬菜能不生吃就不生吃。疫情期间，生吃蔬菜、水果是否存在病毒残留的风险？今天（18日）下午，在北京市新型冠状病毒肺炎疫情防控工作第125场新闻发布会上，中国疾控中心流行病学首席专家吴尊友说，首先要看产地是不是安全的；第二，供应市场是不是安全。北京蔬菜瓜果主要来自山东、河北，这些地方都是较为安全的。水果生吃没问题，蔬菜能不生吃就不生吃。
30000/30100/30111,公共卫生,北京共报告8起与新发地相关聚集性疫情,在18日下午召开的北京市新型冠状病毒肺炎疫情防控工作新闻发布会上，北京市疾病预防控制中心副主任庞星火介绍：6月17日0时至24时，北京市新增新冠肺炎确诊病例21例，其中男性7例，女性14例；年龄平均43岁，最小19岁，最大66岁；北京户籍3例，外省户籍18例；丰台区14例、大兴区6例、海淀区1例；临床分型轻型5例，普通型16例，确诊病例均与新发地市场有关联。截至6月17日24时，北京市共报告8起与新发地市场相关的聚集性疫情。
30000/30100/30111,公共卫生,国家卫健委：6月17日新增新冠肺炎确诊病例28例,6月17日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例28例，其中境外输入病例4例（上海2例，陕西1例，甘肃1例），本土病例24例（北京21例，河北2例，天津1例）；无新增死亡病例；新增疑似病例3例，均为本土病例（均在北京）。当日新增治愈出院病例15例，解除医学观察的密切接触者153人，重症病例增加2例。境外输入现有确诊病例91例（无重症病例），无现有疑似病例。累计确诊病例1860例，累计治愈出院病例1769例，无死亡病例。截至6月17日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例265例（其中重症病例9例），累计治愈出院病例78394例，累计死亡病例4634例，累计报告确诊病例83293例，现有疑似病例7例。累计追踪到密切接触者754966人，尚在医学观察的密切接触者5220人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者8例（境外输入2例）；当日无转为确诊病例；当日解除医学观察3例（境外输入1例）；尚在医学观察无症状感染者111例（境外输入63例）。累计收到港澳台地区通报确诊病例1610例。其中，香港特别行政区1120例（出院1071例，死亡4例），澳门特别行政区45例（出院45例），台湾地区445例（出院434例，死亡7例）。
30000/30100/30111,公共卫生,什么是密切接触者？北京市疾控中心权威解答,6月17日16时，北京市人民政府新闻办公室召开第123场疫情防控新闻发布会，介绍新冠肺炎疫情防控情况并回答记者提问。北京市疾控中心副主任庞星火对市民关心的“什么是密切接触者”的问题进行了解释。庞星火介绍，根据国家和北京市相关规定，密切接触者是指从疑似病例或确诊病例症状出现前4天开始或无症状感染者标本采样前4天开始，未采取有效防护，与其有一米内近距离接触的人员，如共同居住、学习、工作或其他有密切接触的人员，诊疗、护理、探视病人的医护人员，家属或其他有类似近距离接触的人员，乘坐同一交通工具并有近距离接触人员，以及现场调查人员调查后，经评估认为其他符合密切接触者判定标准的人员。
30000/30100/30111,公共卫生,北京市教委：全面停止春季学期的学生返校工作,在17日上午举行的北京市新冠肺炎疫情防控工作第122场新闻发布会上，北京市委教育工委副书记、北京市教委新闻发言人李奕介绍了首都教育系统落实二级响应机制，教育教学工作安排的最新情况。李奕表示，全面停止春季学期的学生返校工作，各高校要根据学校的实际研究学校的方案，作出工作部署。要求一对一、点对点通知到学生。学校可以通过线上办理、远程服务等方式，做好毕业生的毕业离校工作。
30000/30100/30111,公共卫生,北京市教委：北京初高三毕业年级同学以及共同居住的家庭成员尽量减少外出,17日上午，北京市召开新冠肺炎疫情防控工作第122场新闻发布会，北京市教委等部门介绍相关情况并回答记者提问。北京市委教工委副书记李奕介绍，各区和学校要坚持师生身体健康的日报告制度，监测师生的体温和身体的状况，特别是初高三年级的同学和与学生共同居住家庭成员的身体状况、体温情况包括身体健康状况、确诊情况、疑似情况和密切接触的情况，这一次都在整体的统计和每日报送的范围之内。要求初高三年级的同学以及共同居住的家庭成员，以及参加中高考组考工作的教职员工在最近这个阶段都要提高防控的要求和标准，同时尽量减少外出，避免交叉感染。特别强调，要保持适度的锻炼、合理的作息和科学的饮食，强身健体提高自己的免疫力和抵抗力。
30000/30100/30111,公共卫生,湖北6月16日无新增新冠肺炎确诊病例,2020年6月16日0—24时，全省新增新冠肺炎确诊病例0例，新增疑似病例0例，新增死亡病例0例，无境外输入病例。截至2020年6月16日24时，全省现有确诊病例0例，现有疑似病例0例。全省累计报告新冠肺炎确诊病例68135例，累计治愈出院63623例，累计病亡4512例。全省累计追踪密切接触者285025人，尚在接受医学观察84人。6月16日，全省新增无症状感染者0例，转确诊0例，解除隔离0例，尚在医学观察的无症状感染者3例。
30000/30100/30111,公共卫生,国家卫健委：6月16日新增44例新冠肺炎确诊病例,6月16日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例44例，其中境外输入病例11例（甘肃10例，四川1例），本土病例33例（北京31例，河北1例，浙江1例）；无新增死亡病例；新增疑似病例3例，均为本土病例（均在北京）。当日新增治愈出院病例2例，解除医学观察的密切接触者116人，重症病例增加2例。境外输入现有确诊病例102例（无重症病例），现有疑似病例2例。累计确诊病例1856例，累计治愈出院病例1754例，无死亡病例。　截至6月16日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例252例（其中重症病例7例），累计治愈出院病例78379例，累计死亡病例4634例，累计报告确诊病例83265例，现有疑似病例7例。累计追踪到密切接触者754269人，尚在医学观察的密切接触者4683人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者11例（境外输入4例）；当日转为确诊病例6例（境外输入1例）；当日解除医学观察9例（境外输入4例）；尚在医学观察无症状感染者106例（境外输入62例）。累计收到港澳台地区通报确诊病例1602例。其中，香港特别行政区1112例（出院1069例，死亡4例），澳门特别行政区45例（出院45例），台湾地区445例（出院433例，死亡7例）。
30000/30100/30111,公共卫生,北京6月16日新增31例新冠肺炎确诊病例,?6月16日0时至24时，北京新增报告本地确诊病例31例、疑似病例3例、无症状感染者6例。截至6月16日24时，累计报告本地确诊病例557例，累计出院411例，在院137例，累计死亡9例。尚在观察的无症状感染者12例。6月16日0时至24时，无新增报告境外输入新冠肺炎确诊病例、疑似病例和无症状感染者。截至6月16日24时，累计报告境外输入确诊病例174例，累计出院173例，在院1例。新增确诊病例中，东城区3例、西城区1例、海淀区3例、丰台区19例、大兴区5例。全市有11个区无本地报告新增确诊病例，具体为平谷区自有疫情以来无报告病例、延庆区145天、怀柔区131天、顺义区129天、密云区126天、昌平区120天、通州区118天、朝阳区2天、石景山区2天、门头沟区1天、房山区1天。6月16日0时至24时，北京新增报告本地确诊病例31例、疑似病例3例、无症状感染者6例。截至6月16日24时，累计报告本地确诊病例557例，累计出院411例，在院137例，累计死亡9例。尚在观察的无症状感染者12例。6月16日0时至24时，无新增报告境外输入新冠肺炎确诊病例、疑似病例和无症状感染者。截至6月16日24时，累计报告境外输入确诊病例174例，累计出院173例，在院1例。新增确诊病例中，东城区3例、西城区1例、海淀区3例、丰台区19例、大兴区5例。全市有11个区无本地报告新增确诊病例，具体为平谷区自有疫情以来无报告病例、延庆区145天、怀柔区131天、顺义区129天、密云区126天、昌平区120天、通州区118天、朝阳区2天、石景山区2天、门头沟区1天、房山区1天。
30000/30100/30111,公共卫生,判断是否感染新冠病毒最主要方法是进行核酸检测,?原标题：北京疫情发布会：判断是否感染新冠病毒最主要方法是进行核酸检测6月16日晚，北京市召开疫情防控第120次例行新闻发布会，就北京防控疫情等相关情况进行通报，并回答记者提问。判断是否感染新冠病毒 最主要方法是进行核酸检测会上，中国疾控中心应急中心副主任、国家卫生健康委专家组专家施国庆通报，目前要判断是否感染了新冠肺炎病毒，最主要的方法是对其进行新冠肺炎病毒的核酸检测。无症状感染者和确诊病例的区别在于是否有临床表现。管理上都要进行隔离，密接者都要隔离。目前暂无证据表明三文鱼是新冠病毒宿主或中间宿主在这次新发地聚集性疫情相关的被污染的局部场所，通过检测确实发现三文鱼有被污染的情况，但是进入到污染场所之前的三文鱼，并没有检测出新冠肺炎病毒。他强调，无论食用三文鱼或者其他食品，都应该清洗的干净，进行必要的加工食用。原标题：北京疫情发布会：判断是否感染新冠病毒最主要方法是进行核酸检测6月16日晚，北京市召开疫情防控第120次例行新闻发布会，就北京防控疫情等相关情况进行通报，并回答记者提问。判断是否感染新冠病毒 最主要方法是进行核酸检测会上，中国疾控中心应急中心副主任、国家卫生健康委专家组专家施国庆通报，目前要判断是否感染了新冠肺炎病毒，最主要的方法是对其进行新冠肺炎病毒的核酸检测。无症状感染者和确诊病例的区别在于是否有临床表现。管理上都要进行隔离，密接者都要隔离。目前暂无证据表明三文鱼是新冠病毒宿主或中间宿主在这次新发地聚集性疫情相关的被污染的局部场所，通过检测确实发现三文鱼有被污染的情况，但是进入到污染场所之前的三文鱼，并没有检测出新冠肺炎病毒。他强调，无论食用三文鱼或者其他食品，都应该清洗的干净，进行必要的加工食用。
30000/30100/30111,公共卫生,北京市中风险地区已增至27个,6月16日，根据国务院客户端小程序显示，东城区永定门外街道、丰台区丰台街道、南苑（地区）乡、大兴区魏善庄镇、门头沟区永定（地区）镇，升级为疫情中风险地区。目前，北京市中风险地区已增至27个。6月15日，根据国务院客户端小程序显示，朝阳区十八里店，海淀区永定路、青龙桥街道，石景山区八宝山街道，东城区天坛街道，大兴区庞各庄镇、黄村镇、大兴天宫院街道、观音寺街道，丰台南苑街道、卢沟桥乡、大红门街道已经上调为中风险地区。
30000/30100/30111,公共卫生,北京医管中心：抽调100名医务人员 支援地坛医院新冠肺炎集中救治,6月15日，北京市医院管理中心紧急组织抽调了100名医务人员前往地坛医院，支援那里的新冠肺炎集中救治工作。人员包括24名医生、62名护士、8名检验人员、6名放射人员 ，来自除地坛医院、佑安医院、小汤山医院外的19家北京市属医院。6月11日到15日，北京新增新冠肺炎确诊患者106名，全部在地坛医院集中救治。
